datetime,direction,score,pos_size,tp_pct,sl_pct,result,pnl,capital_after,conf_4h,conf_15m,atr_pct
2024-11-15 12:00:00,LONG,77.87,19.93,1.052,0.7014,LOSS,-0.1795,996.22,0.6892,0.5627,0.4676
2024-11-15 14:45:00,LONG,54.2,19.92,1.3848,0.9232,LOSS,-0.2236,995.99,0.6892,0.5194,0.6155
2024-11-15 15:30:00,LONG,52.46,19.92,1.5638,1.0425,WIN,0.2713,996.26,0.6892,0.5308,0.695
2024-11-15 16:15:00,LONG,56.76,19.93,1.628,1.0853,WIN,0.2842,996.55,0.6168,0.5424,0.7236
2024-11-16 15:15:00,LONG,53.26,19.93,0.6942,0.4628,WIN,0.0984,996.65,0.5645,0.5623,0.3085
2024-11-18 06:45:00,LONG,57.01,19.93,0.7363,0.4909,LOSS,-0.1376,996.51,0.556,0.5784,0.3272
2024-11-19 22:30:00,LONG,51.06,19.93,1.2783,0.8522,WIN,0.2146,996.72,0.5655,0.5538,0.5681
2024-11-22 13:30:00,LONG,55.38,19.93,0.8292,0.5528,WIN,0.1253,996.85,0.5533,0.5694,0.3685
2024-11-22 14:15:00,LONG,54.13,19.94,0.9471,0.6314,WIN,0.1488,997.0,0.5533,0.5578,0.4209
2024-11-23 17:15:00,LONG,52.47,19.94,0.5779,0.3853,LOSS,-0.1166,996.88,0.7248,0.5307,0.2568
2024-11-23 21:45:00,LONG,50.12,19.94,0.5188,0.3459,LOSS,-0.1088,996.77,0.7471,0.5022,0.2306
2024-11-24 10:45:00,LONG,54.62,19.94,0.4541,0.3027,LOSS,-0.1002,996.67,0.7073,0.5207,0.2018
2024-11-24 23:00:00,LONG,65.14,19.93,0.7386,0.4924,LOSS,-0.1379,996.53,0.6814,0.5643,0.3283
2024-11-28 03:30:00,LONG,52.78,19.93,0.8496,0.5664,LOSS,-0.1526,996.38,0.5673,0.565,0.3776
2024-12-05 02:30:00,LONG,68.5,19.93,1.3612,0.9074,WIN,0.2311,996.61,0.6258,0.5594,0.605
2024-12-05 03:15:00,LONG,72.47,19.93,1.8142,1.2095,LOSS,-0.2807,996.33,0.6258,0.5812,0.8063
2024-12-05 04:00:00,LONG,64.89,19.93,1.7343,1.1562,LOSS,-0.27,996.06,0.5662,0.6065,0.7708
2024-12-05 04:45:00,LONG,64.7,19.92,1.6574,1.1049,LOSS,-0.2597,995.8,0.5662,0.555,0.7366
2024-12-05 05:30:00,LONG,60.88,19.92,1.6474,1.0982,LOSS,-0.2583,995.54,0.5662,0.536,0.7322
2024-12-05 06:15:00,LONG,64.69,19.91,1.6536,1.1024,WIN,0.2891,995.83,0.5662,0.6033,0.7349
