datetime,direction,score,pos_size,tp_pct,sl_pct,rr_actual,result,pnl,capital_after,conf_4h,conf_15m_dir,conf_15m_opp,atr_15m,atr_4h_used,macro_ema,trade_pct
2024-11-13 10:30:00,LONG,60.51,106.21,4.5726,2.2863,2.0,WIN,4.6395,1046.23,0.6286,0.4139,0.2956,0.4386,2.2863,22.0667,0.102
2024-11-13 14:00:00,LONG,67.55,110.66,4.8233,2.4117,2.0,WIN,5.1108,1051.34,0.639,0.4294,0.2923,0.5562,2.4117,28.4795,0.1058
2024-11-13 15:00:00,LONG,71.92,114.99,4.8233,2.4117,2.0,WIN,5.3108,1056.65,0.639,0.498,0.2813,0.7239,2.4117,28.4795,0.1094
2024-11-14 00:30:00,LONG,63.42,119.2,5.0749,2.5374,2.0,WIN,5.8046,1062.45,0.6063,0.4147,0.2813,0.7594,2.5374,23.943,0.1128
2024-11-14 01:30:00,LONG,67.61,123.32,5.0749,2.5374,2.0,WIN,6.0055,1068.46,0.6063,0.498,0.2813,0.7175,2.5374,23.943,0.1161
2024-11-14 02:30:00,LONG,67.47,127.35,5.0749,2.5374,2.0,WIN,6.2015,1074.66,0.6063,0.4978,0.2956,0.6914,2.5374,23.943,0.1192
2024-11-14 03:30:00,LONG,67.14,131.28,5.0749,2.5374,2.0,WIN,6.3931,1081.05,0.6063,0.4522,0.2956,0.6328,2.5374,23.943,0.1222
2024-11-14 13:30:00,LONG,64.7,135.13,5.2432,2.6216,2.0,LOSS,-3.8093,1077.24,0.7926,0.3927,0.3403,0.5068,2.6216,20.3443,0.125
2024-11-14 14:30:00,LONG,91.67,128.8,5.2432,2.6216,2.0,LOSS,-3.6309,1073.61,0.7926,0.498,0.2818,0.6751,2.6216,20.3443,0.1196
2024-11-14 15:30:00,LONG,78.32,122.78,5.2432,2.6216,2.0,LOSS,-3.4611,1070.15,0.7926,0.3927,0.2956,0.811,2.6216,20.3443,0.1144
2024-11-14 16:30:00,LONG,66.03,117.05,5.1452,2.5726,2.0,LOSS,-3.2423,1066.91,0.7119,0.3854,0.2956,0.8432,2.5726,22.1462,0.1094
2024-11-14 19:45:00,LONG,70.62,111.59,5.1452,2.5726,2.0,LOSS,-3.0911,1063.82,0.7119,0.3927,0.2813,0.6333,2.5726,22.1462,0.1046
2024-11-14 20:45:00,LONG,71.24,106.38,5.3521,2.676,2.0,LOSS,-3.0567,1060.76,0.8017,0.3927,0.3237,0.7147,2.676,18.999,0.1
2024-11-14 21:45:00,LONG,84.52,98.12,5.3521,2.676,2.0,LOSS,-2.8194,1057.94,0.8017,0.4147,0.2956,0.697,2.676,18.999,0.0925
2024-11-14 22:45:00,LONG,66.85,89.93,5.3521,2.676,2.0,LOSS,-2.5839,1055.36,0.8017,0.3927,0.3403,0.7195,2.676,18.999,0.085
2024-11-15 12:00:00,LONG,77.03,81.79,5.1082,2.5541,2.0,LOSS,-2.2505,1053.11,0.6892,0.498,0.2813,0.4676,2.5541,19.5588,0.0775
2024-11-15 14:15:00,LONG,63.31,73.72,5.1082,2.5541,2.0,LOSS,-2.0284,1051.08,0.6892,0.3927,0.2956,0.5377,2.5541,19.5588,0.07
2024-11-15 15:15:00,LONG,65.84,73.58,5.1082,2.5541,2.0,WIN,3.6075,1054.69,0.6892,0.4275,0.3237,0.6746,2.5541,19.5588,0.07
2024-11-15 16:15:00,LONG,69.02,81.74,5.0305,2.5152,2.0,WIN,3.9442,1058.63,0.6168,0.4978,0.2813,0.7236,2.5152,21.9021,0.0775
2024-11-15 17:15:00,LONG,68.86,89.98,5.0305,2.5152,2.0,WIN,4.3421,1062.97,0.6168,0.4943,0.2956,0.695,2.5152,21.9021,0.085
2024-11-17 00:45:00,LONG,62.36,98.33,3.8609,1.9305,2.0,LOSS,-2.0929,1060.88,0.6237,0.4275,0.2956,0.2346,1.9305,19.6505,0.0925
2024-11-17 17:15:00,LONG,61.69,98.13,3.4435,1.7217,2.0,LOSS,-1.8841,1059.0,0.6726,0.4275,0.3237,0.316,1.7217,18.4592,0.0925
2024-11-18 19:30:00,LONG,66.54,97.96,3.97,1.985,2.0,WIN,3.6891,1062.69,0.6249,0.4337,0.2956,0.6605,1.985,17.8562,0.0925
2024-11-18 20:30:00,LONG,63.38,106.27,3.9696,1.9848,2.0,LOSS,-2.3196,1060.37,0.5993,0.4337,0.2956,0.6923,1.9848,17.4622,0.1
2024-11-20 00:30:00,LONG,60.35,98.08,3.5348,1.7674,2.0,LOSS,-1.928,1058.44,0.5991,0.4275,0.2956,0.4493,1.7674,17.9463,0.0925
2024-11-20 01:30:00,LONG,65.01,89.97,3.5348,1.7674,2.0,WIN,2.9971,1061.44,0.5991,0.4522,0.2956,0.4187,1.7674,17.9463,0.085
2024-11-20 02:30:00,LONG,60.13,90.22,3.5348,1.7674,2.0,WIN,3.0056,1064.44,0.5991,0.4275,0.2956,0.4092,1.7674,17.9463,0.085
2024-11-20 03:30:00,LONG,60.47,90.48,3.5348,1.7674,2.0,WIN,3.0141,1067.45,0.5991,0.4294,0.2956,0.378,1.7674,17.9463,0.085
2024-11-23 17:15:00,LONG,70.88,90.73,2.5549,1.2774,2.0,LOSS,-1.3394,1066.12,0.7248,0.4337,0.3198,0.2568,1.2774,19.146,0.085
2024-11-23 21:45:00,LONG,67.22,82.62,2.497,1.2485,2.0,LOSS,-1.1958,1064.92,0.7471,0.3854,0.2956,0.2306,1.2485,19.1224,0.0775
2024-11-24 06:45:00,LONG,61.88,74.54,2.3446,1.1723,2.0,LOSS,-1.0221,1063.9,0.6033,0.4978,0.357,0.2019,1.1723,19.5763,0.07
2024-11-24 10:45:00,LONG,69.47,66.49,2.3841,1.192,2.0,LOSS,-0.9248,1062.97,0.7073,0.4139,0.2956,0.2018,1.192,17.9646,0.0625
2024-11-24 22:45:00,LONG,72.01,58.46,2.566,1.283,2.0,LOSS,-0.8663,1062.11,0.6814,0.4337,0.2956,0.3193,1.283,18.1133,0.055
2024-12-05 02:30:00,LONG,69.53,50.45,3.37,1.685,2.0,WIN,1.5976,1063.7,0.6258,0.498,0.2813,0.605,1.685,15.8225,0.0475
2024-12-05 03:30:00,LONG,70.65,50.53,3.37,1.685,2.0,LOSS,-0.9516,1062.75,0.6258,0.498,0.2813,0.8061,1.685,15.8225,0.0475
2024-12-15 23:15:00,LONG,61.33,42.51,2.4947,1.2474,2.0,WIN,0.9744,1063.73,0.6153,0.498,0.2813,0.3698,1.2474,10.8657,0.04
2024-12-16 00:30:00,LONG,60.18,42.55,2.6402,1.3201,2.0,LOSS,-0.6462,1063.08,0.6014,0.5678,0.2813,0.4864,1.3201,10.87,0.04
2025-01-17 16:00:00,LONG,60.51,34.55,2.9004,1.4502,2.0,WIN,0.932,1064.01,0.6192,0.498,0.2813,0.4245,1.4502,9.6324,0.0325
2025-01-17 17:00:00,LONG,60.42,34.58,2.9004,1.4502,2.0,LOSS,-0.5701,1063.44,0.6192,0.4337,0.2813,0.4083,1.4502,9.6324,0.0325
2025-01-17 19:30:00,LONG,60.57,34.56,2.9004,1.4502,2.0,LOSS,-0.5698,1062.87,0.6192,0.4337,0.2813,0.4361,1.4502,9.6324,0.0325
2025-04-21 00:15:00,LONG,61.91,34.54,1.8073,0.9036,2.0,WIN,0.5546,1063.43,0.6989,0.498,0.2956,0.2713,0.9036,3.524,0.0325
2025-04-21 01:15:00,LONG,62.34,42.54,1.8073,0.9036,2.0,WIN,0.6829,1064.11,0.6989,0.498,0.2956,0.3495,0.9036,3.524,0.04
2025-04-21 02:15:00,LONG,62.39,50.55,1.8073,0.9036,2.0,LOSS,-0.5574,1063.55,0.6989,0.5678,0.2813,0.3588,0.9036,3.524,0.0475
2025-04-21 03:15:00,LONG,62.29,42.54,1.8073,0.9036,2.0,LOSS,-0.4691,1063.08,0.6989,0.498,0.2813,0.3403,0.9036,3.524,0.04
2025-04-21 04:30:00,LONG,67.18,34.55,1.7881,0.8941,2.0,LOSS,-0.3777,1062.71,0.7355,0.4943,0.2818,0.3039,0.8941,3.757,0.0325
2025-04-21 05:30:00,LONG,66.98,34.54,1.7881,0.8941,2.0,LOSS,-0.3776,1062.33,0.7355,0.4824,0.2813,0.2679,0.8941,3.757,0.0325
2025-04-22 13:00:00,LONG,60.96,34.53,2.3485,1.1742,2.0,WIN,0.741,1063.07,0.6497,0.498,0.2956,0.2973,1.1742,7.5159,0.0325
2025-04-22 14:00:00,LONG,61.41,42.52,2.3485,1.1742,2.0,WIN,0.9126,1063.98,0.6497,0.5678,0.2813,0.379,1.1742,7.5159,0.04
2025-04-22 15:00:00,LONG,61.68,50.54,2.3485,1.1742,2.0,LOSS,-0.6939,1063.29,0.6497,0.5678,0.2813,0.4269,1.1742,7.5159,0.0475
2025-04-22 20:00:00,LONG,73.59,42.53,2.555,1.2775,2.0,WIN,1.0005,1064.29,0.7795,0.4139,0.2956,0.3813,1.2775,10.2788,0.04
